Steps,Weight (kg),Sleep Duration (hours),Calories Burned,Water Intake (L),Health Status
8710,82.3,6.6,2321,2.6,Unhealthy
9183,81.7,7.6,2069,1.2,Unhealthy
8452,81.7,5.6,2131,2.4,Unhealthy
8667,82.4,8.1,2382,2,Unhealthy
8831,82.2,7.5,2289,2,Unhealthy
8615,81.7,6.4,2510,1.4,Unhealthy
9015,81.7,5.8,2144,1.4,Unhealthy
9146,81.6,4,2093,2.4,Unhealthy
9028,82.3,4.1,1983,2.9,Unhealthy
8641,82.4,8.6,2147,2.8,Unhealthy
9364,81.7,6.2,1944,2.6,Unhealthy
8628,82.2,6.1,2516,2.6,Unhealthy
9308,82.1,7.1,2050,2.9,Unhealthy
9251,82.1,8.5,2020,1.8,Unhealthy
9246,82.2,4.4,2150,1.9,Unhealthy
8841,82,4.9,2291,2.4,Unhealthy
8705,82.5,5,2267,2.3,Unhealthy
9054,81.6,4.9,2265,1.1,Unhealthy
8693,81.5,8.6,2251,2.1,Unhealthy
8769,81.9,5.9,2242,2,Unhealthy
8590,81.7,5.3,2378,1.6,Unhealthy
8736,82.3,8.1,2094,1.5,Unhealthy
8738,82.1,7.3,2278,1.5,Unhealthy
8974,81.7,8.1,2353,1.4,Unhealthy
8521,81.6,4,2388,1.3,Unhealthy
9265,81.7,5.1,2037,2.8,Unhealthy
9349,81.8,6.8,2150,2.7,Unhealthy
8882,81.5,8.7,1943,2.7,Unhealthy
9193,81.9,7,2468,2.5,Unhealthy
8618,82.1,7.5,2188,2.2,Unhealthy
9024,82.4,7.6,2488,2.6,Unhealthy
8446,81.7,7.8,2016,1.8,Unhealthy
8670,82.5,7.7,2099,3,Unhealthy
8863,81.6,5.9,2144,1,Unhealthy
8826,82.2,8.6,2478,2,Unhealthy
8841,81.7,5.7,1986,1,Unhealthy
8894,81.8,5.5,2433,1.3,Unhealthy
9029,81.6,4.9,2395,2.5,Unhealthy
9051,82,8,2425,2.2,Unhealthy
9196,81.6,7.9,2218,1.3,Unhealthy
9069,81.6,7.8,1969,2.1,Unhealthy
8862,82.3,5.7,2402,1.2,Unhealthy
8484,82.4,4.7,2037,2.1,Unhealthy
8477,81.6,4.7,1969,1.8,Unhealthy
9338,82.4,4.7,2308,1.1,Unhealthy
8491,82.2,7.1,2077,1.3,Unhealthy
9352,82.1,8.3,2210,2.3,Unhealthy
8433,82.5,8.9,2240,2.4,Unhealthy
9416,82.3,9,2146,3,Unhealthy
8872,82.3,6.7,2330,2.1,Unhealthy
8762,82.5,5.5,2369,2.5,Unhealthy
8842,81.6,5.1,2242,1.2,Unhealthy
9107,81.6,6.8,1945,1.4,Unhealthy
8485,82,6.1,2512,1.7,Unhealthy
9068,81.8,7.7,2522,2.1,Unhealthy
9326,82.3,7.6,2192,2.3,Unhealthy
8844,81.8,7,1964,2.9,Unhealthy
8525,82,6.9,1987,2.8,Unhealthy
9290,82.1,5.7,2257,2.9,Unhealthy
9090,81.6,8.7,2150,2.4,Unhealthy
9313,82.2,6.9,2160,2.4,Unhealthy
9281,81.9,5.2,2106,1.2,Unhealthy
9192,82,5.4,2062,2.9,Unhealthy
8657,82.1,4.3,1941,1.1,Unhealthy
9049,81.5,4.2,2308,2.4,Unhealthy
8576,81.9,8.7,1988,2.8,Unhealthy
8770,82,4.3,1932,1.4,Unhealthy
8621,82.1,6.7,2328,1.7,Unhealthy
9153,82.3,7.6,2497,1.6,Unhealthy
9307,81.9,7.3,2167,2.9,Unhealthy
9267,82,7.1,2420,2.8,Unhealthy
8541,81.6,5.5,2196,1.1,Unhealthy
9139,82.2,4.2,2121,1.6,Unhealthy
9395,82.4,7.5,2282,1.8,Unhealthy
9128,81.6,5.4,2523,1.7,Unhealthy
9096,81.8,9,2071,1.9,Unhealthy
9346,81.7,6.2,2160,2.3,Unhealthy
8679,82.2,6.9,2116,2.9,Unhealthy
9129,81.8,5.3,2054,1.6,Unhealthy
8466,82.1,5.7,2077,1.2,Unhealthy
8644,81.6,5.2,2143,2.5,Unhealthy
9056,81.9,8.7,2441,1.4,Unhealthy
8633,82.4,7.3,2143,1,Unhealthy
9346,82.4,7.6,2282,1.1,Unhealthy
8679,81.7,4.1,1978,1.4,Unhealthy
9148,82.3,4.9,2346,2.2,Unhealthy
9261,82.2,8.3,2204,1.9,Unhealthy
9198,81.7,7.2,2426,2.2,Unhealthy
8790,82.3,4,2141,1.4,Unhealthy
9212,81.6,5.5,2335,1.1,Unhealthy
8516,82,6.7,1970,2.3,Unhealthy
8862,81.7,5.2,2174,2,Unhealthy
8865,82.2,6.8,1928,1.3,Unhealthy
9335,82.3,8.6,2436,2,Unhealthy
9208,81.9,5.9,2191,2.1,Unhealthy
8780,82.3,8.9,2470,2.3,Unhealthy
8455,81.9,8.3,2131,2,Unhealthy
8900,81.6,8.8,2411,1,Unhealthy
8965,82.1,6.6,2054,2.9,Unhealthy
9027,81.8,5.8,1934,2.4,Unhealthy
9281,82.3,8.9,2336,1.1,Unhealthy
8832,82.5,4.8,2319,2.8,Unhealthy
9011,81.6,6,2123,2.6,Unhealthy
8745,81.9,4.7,2138,1.8,Unhealthy
9207,81.7,6.8,2423,1.3,Unhealthy
8894,82.2,6.1,2433,1.2,Unhealthy
8803,82.1,6.6,2293,2.8,Unhealthy
8750,81.6,8.4,2495,1.7,Unhealthy
9342,81.6,6.1,2395,2.2,Unhealthy
8455,82.3,6.6,2318,2.9,Unhealthy
8478,81.5,8.3,2447,2.9,Unhealthy
8446,82.3,4.5,2315,2.5,Unhealthy
8818,82.4,4.2,2234,2.7,Unhealthy
8711,82.4,6.3,2092,2.6,Unhealthy
8971,82.5,7.7,2118,1.7,Unhealthy
9202,82.1,5.5,2100,2.3,Unhealthy
9171,82.4,7.5,2069,1.8,Unhealthy
9324,82.4,6.8,2377,1.4,Unhealthy
8871,82.5,6,2102,2,Unhealthy
8771,82.1,5.1,1974,1.6,Unhealthy
8598,82,4.3,2366,2.5,Unhealthy
8714,82.3,6.9,2105,3,Unhealthy
9078,81.5,7.2,2078,1.3,Unhealthy
9316,81.6,7.4,2044,1.4,Unhealthy
8620,82.2,4.7,2363,1.7,Unhealthy
8844,81.6,5.6,2145,2.2,Unhealthy
8386,82.4,7,2021,1.9,Unhealthy
8717,82.1,4.4,2300,1.3,Unhealthy
8768,82.2,6.2,2091,2.9,Unhealthy
8487,81.5,7.7,2379,3,Unhealthy
8933,82,6.1,1957,2.5,Unhealthy
9031,81.8,6.7,2214,1.3,Unhealthy
9203,82.4,8.8,2057,1.2,Unhealthy
8488,82.3,6.7,2500,1.1,Unhealthy
9227,81.9,7.6,2113,2.1,Unhealthy
8879,81.7,5.7,2486,1.3,Unhealthy
9322,81.6,5.9,2266,1.9,Unhealthy
9340,82.4,5.5,2338,1.5,Unhealthy
9049,82.3,5.2,2474,2.7,Unhealthy
8930,81.8,8,2041,1,Unhealthy
8652,82.2,4.5,2326,2.7,Unhealthy
8666,82.1,5.8,1936,1.2,Unhealthy
8797,81.8,5.1,1922,1.7,Unhealthy
9197,82,6.1,2283,2.7,Unhealthy
8602,81.6,8.7,2388,2.9,Unhealthy
8981,82.3,4.3,2488,2.6,Unhealthy
9368,82.1,7.5,2160,2.4,Unhealthy
8901,81.9,5,1972,1.2,Unhealthy
9268,81.7,8.5,1988,2.9,Unhealthy
9128,82,8.6,2177,2.9,Unhealthy
8956,82.5,8.4,2412,1.2,Unhealthy
9262,82.4,8,2346,2.4,Unhealthy
8913,82.2,6.3,2110,1.3,Unhealthy
8540,81.7,7.3,2287,2.7,Unhealthy
8887,82.1,4.5,2181,2.1,Unhealthy
8770,81.8,4.5,2163,2.7,Unhealthy
8545,82.1,6.1,2226,1.6,Unhealthy
8427,82,5,2482,2.5,Unhealthy
9312,81.9,7.9,2395,2.8,Unhealthy
8798,82.2,6.8,2344,1.5,Unhealthy
9161,82.2,4.1,2243,2.7,Unhealthy
9119,81.7,5.1,2482,2,Unhealthy
8496,82.4,6.8,2034,2.4,Unhealthy
9237,82.2,4.2,2270,1.7,Unhealthy
9344,82.4,7.9,2091,1.8,Unhealthy
8770,81.7,7.6,1997,1.3,Unhealthy
8562,82.1,6,2450,2.5,Unhealthy
8837,81.6,6.2,2500,1.4,Unhealthy
8958,81.9,5.7,2078,2.8,Unhealthy
9238,81.6,4.4,2275,2.8,Unhealthy
8892,82.1,6.2,2477,2.8,Unhealthy
8449,82.4,7.5,2144,2.2,Unhealthy
8429,81.9,5.2,2231,3,Unhealthy
9288,81.8,8.5,2425,2.2,Unhealthy
9003,82,5.4,2242,1.7,Unhealthy
8529,81.6,4.9,2142,1.5,Unhealthy
8402,82.4,7.4,2187,2.9,Unhealthy
8787,81.6,4.9,2183,2.7,Unhealthy
8835,82.2,7.5,2078,2.9,Unhealthy
8914,82.4,5.3,1934,2.9,Unhealthy
9121,82.4,5,2369,1.8,Unhealthy
8802,82,6.8,2290,1.6,Unhealthy
8569,82.2,4.7,2075,1,Unhealthy
8630,81.8,6.7,2020,1.7,Unhealthy
8516,82,8.1,1964,1.5,Unhealthy
8777,81.7,4.1,1972,1.8,Unhealthy
8508,82.4,8.9,2054,1.9,Unhealthy
9345,82.2,5,2414,2.7,Unhealthy
8496,82,6.2,2159,3,Unhealthy
8367,81.7,6.4,2026,2.2,Unhealthy
8378,82.2,8.5,2219,1,Unhealthy
8898,82.1,7.2,2414,1.7,Unhealthy
9343,81.7,4.8,2353,2.9,Unhealthy
8988,81.6,8.3,2176,2.2,Unhealthy
8351,82,7.5,2095,1.4,Unhealthy
8860,81.9,5.7,2023,2.8,Unhealthy
9312,81.6,8,2365,2.4,Unhealthy
8532,82.3,8.3,2020,2.4,Unhealthy
8737,82.2,6,1944,2.1,Unhealthy
9289,81.7,6.2,2320,1.5,Unhealthy
8694,81.7,8,2213,2.5,Unhealthy
9215,82.4,8,2314,1.2,Unhealthy
8844,81.9,8.7,2145,3,Unhealthy
8569,81.6,4.5,2508,2.4,Unhealthy
9033,82.3,6.5,1924,1.6,Unhealthy
9209,81.6,5.7,2339,2.6,Unhealthy
8851,81.8,4.8,2000,1.5,Unhealthy
8751,82.1,5.1,2326,2.8,Unhealthy
8989,82.1,7.8,2194,2,Unhealthy
8958,81.8,5.3,2302,2.7,Unhealthy
9012,81.7,6.5,2267,1.6,Unhealthy
9064,82.4,4.1,2294,1.1,Unhealthy
9260,82,6,2056,2.8,Unhealthy
9122,82.4,6.3,2236,1.3,Unhealthy
8559,81.6,4.4,2004,1.7,Unhealthy
8383,82.1,8.9,2195,1.7,Unhealthy
8780,82,6.4,2499,2.1,Unhealthy
9171,81.8,6.2,2070,2.1,Unhealthy
8896,82.2,4.5,2193,1.1,Unhealthy
9118,81.8,5.4,2095,2.5,Unhealthy
8487,81.6,8,2263,1.8,Unhealthy
8993,81.7,6.9,1963,2.7,Unhealthy
8958,81.9,7.6,2094,1.6,Unhealthy
8442,82.4,8.2,2158,2.7,Unhealthy
8890,82.4,6.5,1963,2.5,Unhealthy
8529,82.1,9,2283,1.7,Unhealthy
8457,82.2,4.3,2142,1.2,Unhealthy
8526,81.5,5.6,2418,2.9,Unhealthy
9054,82.2,6.2,1933,2.9,Unhealthy
8707,82.3,5.1,2448,1.1,Unhealthy
8467,82.1,5.5,2478,1.8,Unhealthy
8427,82.4,6.1,2287,2.3,Unhealthy
9229,82.2,8.2,2347,3,Unhealthy
8677,82.3,6.7,2274,2,Unhealthy
9250,82,8.2,2448,1.1,Unhealthy
9195,82.1,6.1,2325,1,Unhealthy
8645,81.6,7.5,2395,2.8,Unhealthy
8623,82.1,6.2,1921,1,Unhealthy
8875,81.7,5.1,2358,2.1,Unhealthy
8425,82.5,8.9,1974,1.3,Unhealthy
8672,81.6,5.6,2087,2.2,Unhealthy
9063,82.2,7,2283,3,Unhealthy
8805,82.4,8.5,2055,2.1,Unhealthy
8617,82.2,8.7,2496,1.1,Unhealthy
8683,82.5,4.4,2436,1.4,Unhealthy
8486,82.3,4.1,1958,2.8,Unhealthy
8984,82.3,4.7,2013,1.8,Unhealthy
9295,81.8,4.9,1990,1.3,Unhealthy
8840,82,8.8,2259,1.7,Unhealthy
9096,82.4,7.6,2052,1.5,Unhealthy
8451,81.9,6.7,2320,1.5,Unhealthy
9020,82.2,6.3,2082,1.8,Unhealthy
8932,81.8,8.3,2141,1.2,Unhealthy
9262,81.6,5.4,2360,1.4,Unhealthy
8692,82,8,2420,1.5,Unhealthy
9211,82.1,4.6,2438,2.1,Unhealthy
8669,82,4.8,2213,1.5,Unhealthy
9003,82.2,5,2317,2.6,Unhealthy
8476,82.5,6.9,2225,1.5,Unhealthy
8900,82.3,8.2,2311,1.6,Unhealthy
9269,82.1,4.9,2223,1.1,Unhealthy
8801,81.8,8.1,2164,2.3,Unhealthy
9302,81.8,5.7,2309,1.7,Unhealthy
9284,82.4,5.1,2331,2.4,Unhealthy
9146,82.3,4.8,2121,1.2,Unhealthy
9307,81.6,7.4,1908,1.9,Unhealthy
8410,81.7,8.7,2338,2.1,Unhealthy
8922,82,7,2134,2.1,Unhealthy
9185,82.5,7.3,2493,1.6,Unhealthy
8738,82.5,8.6,1969,2.2,Unhealthy
9036,81.6,5.4,2125,1.9,Unhealthy
8542,82.3,6,1986,1.6,Unhealthy
9256,81.7,5.6,2261,2.7,Unhealthy
8544,82,4.3,1961,2.3,Unhealthy
9271,81.7,8.7,2448,1.7,Unhealthy
9098,81.8,7.4,2102,1.4,Unhealthy
9279,81.7,8.1,1985,2.7,Unhealthy
8901,81.7,9,2328,2.9,Unhealthy
9213,81.7,5.8,1960,1.7,Unhealthy
8924,81.8,8.4,2287,2.2,Unhealthy
8330,81.6,8.1,2201,2.2,Unhealthy
9295,81.7,8.6,2024,1.8,Unhealthy
8432,82.3,7.8,2357,1.1,Unhealthy
8403,82.1,7.2,1936,1.2,Unhealthy
9214,81.6,4.4,2233,1.4,Unhealthy
8920,82.1,7.1,2426,2.5,Unhealthy
8326,81.9,6.1,2292,1.3,Unhealthy
9158,81.9,8.1,1907,2.9,Unhealthy
8712,82.3,7.6,2472,2.8,Unhealthy
8901,81.8,6.2,2203,2.9,Unhealthy
8983,82.5,7.5,1991,2.2,Unhealthy
8486,81.9,8.4,2427,2.6,Unhealthy
9008,83.3,8.2,2282,2,Unhealthy
8492,82.6,8.2,1912,2.1,Unhealthy
8671,83.3,7.7,2062,2.8,Unhealthy
8786,83.5,4,1991,1.8,Unhealthy
9188,82.8,7.9,2157,2.1,Unhealthy
8485,82.9,5.9,2320,1.4,Unhealthy
9086,82.7,7.5,1901,2.1,Unhealthy
9084,82.7,6.1,2196,2.7,Unhealthy
9019,83.1,7.2,2125,1.8,Unhealthy
8984,83.3,8.4,2485,1,Unhealthy
8422,82.9,4.9,2292,2.8,Unhealthy
8834,83.1,4.9,2198,2.2,Unhealthy
8896,83.3,5.9,2067,2.9,Unhealthy
9027,82.6,5.2,2278,2.9,Unhealthy
8917,82.9,7.8,1951,2.5,Unhealthy
8406,82.7,6.5,1989,1.4,Unhealthy
8471,83.3,7.2,2489,2,Unhealthy
8884,83.3,8.6,2092,2.8,Unhealthy
8475,83.1,7.6,1991,1.5,Unhealthy
8957,83.3,4.2,2181,2.3,Unhealthy
8375,82.8,4.8,2402,2,Unhealthy
8665,83.1,4.8,1933,2.2,Unhealthy
8702,83,6.8,2242,2.3,Unhealthy
8810,82.8,5.4,2269,2.8,Unhealthy
9280,82.9,8.3,2379,1.6,Unhealthy
8507,82.9,6.3,2134,1.4,Unhealthy
8529,83,5.5,2110,2.5,Unhealthy
9067,82.9,4.2,2346,2.4,Unhealthy
9217,83.1,6.5,2085,1.4,Unhealthy
8443,83.5,8.3,2254,1.4,Unhealthy
8404,82.7,8.1,2255,2.1,Unhealthy
8666,83,4.5,1988,2.4,Unhealthy
8881,83.2,7.6,2020,2.3,Unhealthy
9226,83.1,8.5,2253,1.9,Unhealthy
8943,83.5,4.3,2163,1.9,Unhealthy
9108,82.6,7.2,2165,2,Unhealthy
8845,83.5,7.7,2121,2.8,Unhealthy
8702,82.9,8.2,2251,2.7,Unhealthy
8816,82.9,7.8,2281,2.9,Unhealthy
9260,82.7,6.9,2170,2.4,Unhealthy
8473,83.2,8.4,2011,2,Unhealthy
8474,82.7,8.8,1980,2.5,Unhealthy
8357,83.4,4.7,2126,2.8,Unhealthy
9147,82.7,7.2,2396,2.3,Unhealthy
8926,83,6,2415,2.3,Unhealthy
8322,83.2,4,2397,1.2,Unhealthy
8852,82.6,5.4,2169,2.5,Unhealthy
9249,83.4,7.9,2234,1.5,Unhealthy
9201,82.7,7.3,2225,1.6,Unhealthy
9215,83.1,7.7,1980,1.1,Unhealthy
9031,83.2,7,2062,1.4,Unhealthy
9046,83.5,8.9,1970,2.7,Unhealthy
8440,83.5,8.1,2219,2.8,Unhealthy
8839,82.7,5.7,2059,2.8,Unhealthy
8661,82.6,6.1,2367,2,Unhealthy
8708,83,8.2,2398,1.7,Unhealthy
8452,82.8,5.9,2436,2.5,Unhealthy
8351,83.3,5.6,1936,1.2,Unhealthy
9133,83.4,8.7,2206,1.7,Unhealthy
9110,82.5,6,2029,1.6,Unhealthy
8880,83.1,6.5,2430,2.4,Unhealthy
8287,82.7,5.4,2345,1.6,Unhealthy
8445,83.2,4.2,2192,2.5,Unhealthy
8580,83.1,4.5,1976,1.6,Unhealthy
8566,82.6,5.8,1900,2.7,Unhealthy
8732,82.8,6.8,2456,2,Unhealthy
8354,83.4,7,2212,2.3,Unhealthy
9048,83.4,6.9,2097,1.5,Unhealthy
8912,82.8,6.3,2202,1.9,Unhealthy
8953,83.4,4.7,2117,2.5,Unhealthy
9058,83.4,8.4,2379,2.7,Unhealthy
8327,82.8,8.7,2311,2.4,Unhealthy
8807,82.8,5.8,2433,1.8,Unhealthy
8566,83.4,6.6,2274,1.6,Unhealthy
8799,83.4,5.1,2154,1.5,Unhealthy
8882,83.5,6.4,1996,2,Unhealthy
8909,83.4,5.4,1959,1.3,Unhealthy
8268,83.2,8.7,2387,2.2,Unhealthy
9063,82.9,8.1,2180,2.1,Unhealthy
8611,82.7,6.8,2051,2.5,Unhealthy
9253,82.9,6.2,2096,1.5,Unhealthy
9034,83.5,6,2018,2.3,Unhealthy
8980,83.4,5.7,2479,2.1,Unhealthy
8584,82.9,6,2430,1.4,Unhealthy
8345,82.7,4.4,2048,2.7,Unhealthy
8920,83.5,7,2331,1.5,Unhealthy
9081,82.7,5.8,1906,2.1,Unhealthy
8976,83.2,5.5,2426,1.8,Unhealthy
8766,83.1,4.2,2112,1.5,Unhealthy
9204,82.7,7.9,2092,2.2,Unhealthy
8896,82.7,6.1,1984,2.7,Unhealthy
8921,83,7.8,2070,2.4,Unhealthy
8738,83.4,7.3,2239,2.3,Unhealthy
8366,83.4,7.8,1995,2.6,Unhealthy
8955,83.2,5,2396,1.2,Unhealthy
9164,83.1,7,2463,2.5,Unhealthy
9024,83.2,7,2188,2.8,Unhealthy
8542,83.3,7.9,2224,1.6,Unhealthy
8995,82.8,8,2366,2.8,Unhealthy
8613,83.2,9,2164,2.6,Unhealthy
8609,83.3,7.1,1925,2.8,Unhealthy
8992,83,7.2,1901,1.7,Unhealthy
8872,83.3,6.6,2461,1.8,Unhealthy
8334,83.3,8.9,2345,2.5,Unhealthy
8473,82.6,7.1,2309,1.6,Unhealthy
8306,82.8,5,1988,1.9,Unhealthy
8412,82.6,8.8,2294,1.6,Unhealthy
8311,83.2,7.7,2386,2.7,Unhealthy
8867,82.6,5.7,2464,1.7,Unhealthy
8809,83.4,8.3,2182,2.4,Unhealthy
8788,83.4,7.8,2122,2.7,Unhealthy
8737,82.6,7.2,2422,2.3,Unhealthy
8367,82.9,4.7,1962,2.9,Unhealthy
8469,82.9,7.9,1969,1.7,Unhealthy
8266,83.2,5.7,2471,1.9,Unhealthy
9245,83,5.1,1904,1.8,Unhealthy
8491,83.3,7.6,2124,1.9,Unhealthy
8687,82.6,4.1,2312,2.1,Unhealthy
9002,82.8,4.5,2390,2,Unhealthy
8743,83.1,5.2,2352,1,Unhealthy
8253,83.5,7.1,2314,2.3,Unhealthy
9187,82.7,5.7,2065,1.6,Unhealthy
9217,82.8,8.3,1945,2.9,Unhealthy
9053,82.8,5.7,2396,2.7,Unhealthy
8884,83,8.8,2137,2.8,Unhealthy
8427,83.3,7.6,2229,1.2,Unhealthy
8701,83.1,8.9,2146,1.4,Unhealthy
8428,83,6.6,2415,3,Unhealthy
9076,82.9,5.3,2192,1.6,Unhealthy
8627,82.8,7.8,2428,2.8,Unhealthy
9039,83.1,7.1,2377,1.2,Unhealthy
8291,82.7,7.9,2422,1.5,Unhealthy
9199,82.6,8.7,2337,2,Unhealthy
8509,83,6.1,2151,1.8,Unhealthy
8896,82.8,5.4,1984,2.6,Unhealthy
8702,82.5,8.2,2321,2.9,Unhealthy
8462,82.6,7.8,2236,1.6,Unhealthy
8354,83.3,5.7,2397,2.8,Unhealthy
9128,82.7,5.1,2478,1.7,Unhealthy
8524,83,6.1,2335,1.3,Unhealthy
8332,82.7,7.5,2116,1,Unhealthy
8620,82.8,8.1,2423,2.5,Unhealthy
8694,82.8,6.2,2322,2.4,Unhealthy
9215,82.6,5.4,2244,1.2,Unhealthy
8415,83.3,4.3,1909,2.1,Unhealthy
8477,82.7,6.7,2477,2.3,Unhealthy
8767,82.9,6.3,1992,2.5,Unhealthy
8850,82.7,6.2,2391,2,Unhealthy
9203,82.9,4.4,2457,2.9,Unhealthy
8738,82.8,5.6,2215,1.8,Unhealthy
8808,83.1,8.7,2170,1.2,Unhealthy
8806,83.3,7.2,2012,1.1,Unhealthy
9002,82.9,4.5,2244,1.6,Unhealthy
8812,83.5,6.9,2435,1.4,Unhealthy
8528,83.4,5.7,1961,2.3,Unhealthy
8365,82.8,4.3,2061,2.7,Unhealthy
8811,83,6.1,2360,1.2,Unhealthy
8988,82.7,8.9,2234,2.5,Unhealthy
8277,83.1,5.1,2147,1.5,Unhealthy
8622,83,6.4,2140,2.2,Unhealthy
8419,83.1,5.4,2239,1.5,Unhealthy
8236,83.4,7.1,2168,2.1,Unhealthy
8274,83.2,8.1,2227,1.5,Unhealthy
8328,83.4,5.2,1976,1.3,Unhealthy
9012,82.9,8,2374,1.1,Unhealthy
8658,83.3,5.5,2347,1.9,Unhealthy
8795,83.2,6.4,2214,2.6,Unhealthy
9007,83.3,7.7,2425,1.2,Unhealthy
8526,82.9,8.8,2251,1.8,Unhealthy
8383,83.2,7.8,1980,2,Unhealthy
8362,83.3,5.9,2291,1.7,Unhealthy
8267,83.5,5.4,2202,1.2,Unhealthy
8746,83,7.6,2478,1.7,Unhealthy
8355,82.9,6.9,2310,2,Unhealthy
8374,82.6,8.4,2106,2.2,Unhealthy
8825,82.9,4.9,2468,2.9,Unhealthy
9137,83.3,5.3,2037,2.2,Unhealthy
9091,83,8.2,2006,2.3,Unhealthy
8949,82.7,6.2,2114,1.5,Unhealthy
8810,82.8,4.9,2051,2.9,Unhealthy
8381,82.5,6.2,2364,2.7,Unhealthy
8596,82.8,6.4,2068,1.5,Unhealthy
8877,82.5,6.4,2440,1.8,Unhealthy
8969,83.5,4.2,2007,1,Unhealthy
9169,83.5,8.7,2193,1,Unhealthy
8664,83.4,8.3,2354,1.2,Unhealthy
9064,82.5,4.7,2039,1.1,Unhealthy
9037,83,8.3,2371,2.9,Unhealthy
8925,83,4.7,2231,2,Unhealthy
9067,82.5,6.1,1905,2.2,Unhealthy
8306,83.5,7.6,2010,2.6,Unhealthy
8291,83,6,2379,2.1,Unhealthy
9009,83,8.1,2215,1.5,Unhealthy
8919,82.8,8.3,2117,1.4,Unhealthy
8367,82.7,7.4,2113,2.8,Unhealthy
8655,82.7,6.2,1967,1.3,Unhealthy
8408,82.9,5.3,2040,1.9,Unhealthy
8303,83.1,4.2,2106,1.9,Unhealthy
8213,83.2,6.5,2318,2.9,Unhealthy
9133,83.4,8.3,2217,2.2,Unhealthy
9012,83.5,6.3,2162,1.1,Unhealthy
8506,82.6,5.8,2372,1.7,Unhealthy
8909,83.1,5.4,1935,1.9,Unhealthy
8312,82.5,4,2460,1.2,Unhealthy
8486,83.5,7.2,2232,3,Unhealthy
9160,83.1,4.6,2022,1.4,Unhealthy
8444,82.5,7,1882,1.7,Unhealthy
8308,83.4,7.8,1952,1.2,Unhealthy
8652,82.8,8.9,2152,2.2,Unhealthy
8861,83,8.5,2026,1.9,Unhealthy
9163,83,4.2,2187,1.4,Unhealthy
8231,83.2,7.3,2470,1.4,Unhealthy
8208,82.7,5.2,2342,1.2,Unhealthy
8394,82.6,7.9,2401,1.1,Unhealthy
8623,83,4.4,2423,1.2,Unhealthy
9143,82.7,6.7,1931,2.7,Unhealthy
8465,82.6,8.8,2383,1.9,Unhealthy
8588,83.4,7.7,1980,1.4,Unhealthy
8761,82.9,5.6,2063,1.1,Unhealthy
9150,83.1,5.7,2448,2.4,Unhealthy
8416,83.3,8,2178,2,Unhealthy
8304,82.9,4.3,2371,2.1,Unhealthy
8279,82.9,7.6,2082,1.7,Unhealthy
8245,82.7,6.8,1950,1.8,Unhealthy
8223,83,7.6,1918,1.2,Unhealthy
9031,82.8,8.8,2465,2.4,Unhealthy
8608,82.9,4.2,1906,2.2,Unhealthy
8228,83.3,8.5,2436,1.8,Unhealthy
8866,83,7.1,2106,2.5,Unhealthy
8857,82.9,4.3,2267,2.5,Unhealthy
8315,83.2,7.3,2081,1.8,Unhealthy
8397,82.9,4.2,2055,1.5,Unhealthy
8926,83.3,8.9,2181,1.8,Unhealthy
8792,82.7,4.9,2466,2.4,Unhealthy
8728,82.6,4,2262,1.9,Unhealthy
8314,82.9,7.2,2415,1.4,Unhealthy
9099,83.1,8.7,1988,2.5,Unhealthy
9187,83.2,6.8,2291,2.7,Unhealthy
8863,82.6,5,2197,3,Unhealthy
8412,82.8,8.4,1895,1.8,Unhealthy
8254,82.5,7.2,2139,2.2,Unhealthy
8814,83.1,6.7,1994,1.9,Unhealthy
8497,83.4,7.6,2281,2.8,Unhealthy
9144,83.1,6.6,2371,2.2,Unhealthy
8511,83.3,6,2161,1.9,Unhealthy
9027,83.2,6.5,2086,2,Unhealthy
9014,82.8,5.2,2431,2.3,Unhealthy
8765,82.6,8.3,2348,1.9,Unhealthy
8506,83.5,4,2044,1.4,Unhealthy
8737,83.1,8.7,2398,2.8,Unhealthy
9008,83.2,6.4,2064,1.3,Unhealthy
8501,82.8,7.6,1918,1.7,Unhealthy
9033,82.5,8.9,2459,1.7,Unhealthy
8268,83.2,8.6,2108,1.8,Unhealthy
8223,83.3,8.7,1960,2.4,Unhealthy
9165,82.5,7.1,2016,3,Unhealthy
8361,83.1,8.2,2050,1.3,Unhealthy
8577,82.6,7,1886,1.8,Unhealthy
8598,83,9,2454,3,Unhealthy
9067,83.2,5.5,2414,1.2,Unhealthy
9130,82.5,6.4,2394,2.2,Unhealthy
8366,83.1,8.1,2293,1.4,Unhealthy
9085,83.2,5.6,2096,2.1,Unhealthy
8306,83.1,4.1,2415,2.9,Unhealthy
8930,82.6,8.5,2022,1.5,Unhealthy
8788,83.1,6.4,2378,2,Unhealthy
8769,82.8,7.6,2433,2.3,Unhealthy
8883,83.5,4.2,2028,1.5,Unhealthy
8620,83.3,7.5,1932,2.3,Unhealthy
9113,83.2,7.7,2326,2.7,Unhealthy
8643,82.8,8.4,2246,3,Unhealthy
9045,82.6,7,2014,1.6,Unhealthy
8922,83.3,5,2197,2.3,Unhealthy
8542,83.1,4.7,2346,2.9,Unhealthy
8364,82.7,5.2,2075,1.8,Unhealthy
8401,83.4,5.6,2255,1.9,Unhealthy
8972,83.2,8.9,1936,1.8,Unhealthy
8690,82.9,7.2,2229,2.3,Unhealthy
8663,82.7,8.2,2052,2.5,Unhealthy
